OutcomeType,AnimalType,SexuponOutcome,Breed,Color,mix_breed,clean_age,weekday,hour,day,month,Sex,neuter_status
Return_to_owner,Dog,Neutered Male,Other,Brown/White,1,12.0,2,18,12,2,Male,Neutered
Euthanasia,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,1,12.0,6,12,13,10,Female,Spayed
Adoption,Dog,Neutered Male,Pit Bull Mix,Blue/White,1,24.0,5,12,31,1,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Other,1,0.75,4,19,11,7,Male,Intact
Transfer,Dog,Neutered Male,Other,Tan,0,24.0,4,12,15,11,Male,Neutered
Transfer,Dog,Intact Female,Other,Black/Tan,0,1.0,4,13,25,4,Female,Intact
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1,0.75,5,13,28,3,Male,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,1,0.75,3,17,30,4,Unknown,Unknown
Adoption,Dog,Spayed Female,Other,Red/White,1,5.0,1,17,4,2,Female,Spayed
Adoption,Dog,Spayed Female,Other,White,0,12.0,5,7,3,5,Female,Spayed
Transfer,Cat,Unknown,Domestic Shorthair Mix,Black,1,24.0,3,15,5,12,Unknown,Unknown
Adoption,Dog,Spayed Female,Miniature Schnauzer Mix,Other,1,24.0,0,14,4,11,Female,Spayed
Adoption,Dog,Neutered Male,Pit Bull Mix,Brown,1,48.0,2,11,3,2,Male,Neutered
Return_to_owner,Dog,Neutered Male,Yorkshire Terrier Mix,Other,1,24.0,0,16,8,6,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Other,1,12.0,2,15,25,11,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,3.0,5,12,12,7,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.75,5,16,3,5,Male,Intact
Transfer,Dog,Intact Female,Pit Bull Mix,Brown/White,1,0.5,5,12,7,6,Female,Intact
Transfer,Cat,Intact Female,Other,White,1,24.0,5,11,17,5,Female,Intact
Return_to_owner,Dog,Neutered Male,Other,Black,1,12.0,2,17,30,7,Male,Neutered
Transfer,Dog,Intact Male,Other,Black/White,1,2.0,6,15,19,1,Male,Intact
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,White,1,12.0,4,15,18,9,Female,Spayed
Adoption,Dog,Spayed Female,Other,Brown Brindle/White,0,24.0,5,14,15,8,Female,Spayed
Adoption,Dog,Neutered Male,German Shepherd Mix,Brown/White,1,10.0,0,16,28,10,Male,Neutered
Return_to_owner,Dog,Neutered Male,German Shepherd Mix,Black/Brown,1,2.0,2,17,9,4,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,1,1.0,5,15,3,10,Female,Intact
Adoption,Dog,Spayed Female,Other,Chocolate/White,1,6.0,4,17,15,1,Female,Spayed
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,1,60.0,2,18,25,3,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Other,1,2.0,5,13,21,11,Female,Spayed
Return_to_owner,Cat,Neutered Male,Other,Blue,1,84.0,3,14,30,7,Male,Neutered
Euthanasia,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,36.0,4,13,1,1,Female,Spayed
Transfer,Dog,Intact Male,Labrador Retriever Mix,Black/White,1,4.0,2,15,15,7,Male,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,1,2.0,3,17,3,7,Female,Spayed
Return_to_owner,Dog,Neutered Male,Other,Brown/Black,0,60.0,4,13,8,11,Male,Neutered
Transfer,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown,1,36.0,5,16,11,4,Male,Neutered
Euthanasia,Dog,Intact Male,Labrador Retriever Mix,Yellow,1,36.0,4,14,6,12,Male,Intact
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Brown/White,1,36.0,3,11,24,10,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Blue/White,1,2.0,2,13,2,7,Male,Intact
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,4.0,1,0,11,8,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.75,1,12,14,7,Male,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,1,84.0,5,17,4,4,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,2.0,1,13,23,6,Male,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,2.0,0,15,9,12,Female,Intact
Transfer,Cat,Intact Male,Domestic Longhair Mix,Black/White,1,48.0,1,15,21,1,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,24.0,2,15,28,5,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Tricolor,0,144.0,2,7,27,8,Male,Neutered
Return_to_owner,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,1,108.0,1,11,5,8,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,0.75,1,11,5,5,Female,Intact
Adoption,Dog,Spayed Female,German Shepherd Mix,Black/Brown,1,5.0,0,17,9,3,Female,Spayed
Euthanasia,Dog,Intact Male,Other,Chocolate/White,0,72.0,2,15,30,10,Male,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Tortie,1,12.0,0,9,28,7,Female,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,3.0,0,18,19,10,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,1,0.75,3,17,26,6,Female,Intact
Adoption,Dog,Neutered Male,Other,Other,1,24.0,3,12,14,5,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,1,16,18,11,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black,1,0.25,6,15,4,10,Male,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,2.0,6,13,16,8,Female,Spayed
Transfer,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,1,12.0,4,16,18,7,Male,Intact
